Country_x,ISO3,Year,GHG_Emissions,GDP_USD,Country_y,Unit,Population,GDPperCapita,GHGperCapita,Emission_Intensity,ln_GDPpc,ln_Emissions_pc,income_group
Canada,CAN,2017,785924.63434561,1649265644244.09,Canada,Persons,36808497.0,44806.6554916407,0.021351717630459347,4.7653004662315865e-07,10.710111967450386,-3.8466230914681385,High
Canada,CAN,2018,809059.59365771,1725329192783.02,Canada,Persons,37295005.0,46261.66943222075,0.02169351079743011,4.68930565275295e-07,10.742069023163255,-3.8307421047506587,High
Canada,CAN,2019,805499.62381971,1743725183672.52,Canada,Persons,37782935.0,46151.131024429946,0.02131913848989524,4.619418423052303e-07,10.739676747202306,-3.8481500890424396,High
Canada,CAN,2020,728511.226705,1655684730000.19,Canada,Persons,38171902.0,43374.436254190055,0.019085012497019407,4.400060068832769e-07,10.677625520143144,-3.9588519379767013,High
Canada,CAN,2021,742930.13429329,2022378748423.23,Canada,Persons,38454057.0,52592.07756474772,0.01931994156801947,3.6735459906930077e-07,10.870320770742198,-3.9466174746319727,High
Canada,CAN,2022,761362.60620929,2190411080134.32,Canada,Persons,38821259.0,56422.978969701115,0.019612001924236667,3.475889129279796e-07,10.94063178305048,-3.9316135570778856,High
Canada,CAN,2023,755239.25203285,2173339670064.33,Canada,Persons,39299105.0,55302.52330337625,0.01921772142222705,3.475017101263767e-07,10.920573815825248,-3.951922434901442,High
Canada,CAN,2024,768058.92108106,2243636826633.76,Canada,Persons,39742430.0,56454.444950491445,0.019325917440907864,3.423276494500302e-07,10.941189307850614,-3.946308211332397,High
China,CHN,1999,4850392.3875741,1103843203575.64,China (mainland),Persons,1260176655.0,875.9432252580809,0.00384897813201761,4.394095440242235e-06,6.775301277486823,-5.559947586167801,Low
China,CHN,2000,5063892.2004881,1223754919971.05,China (mainland),Persons,1269581175.0,963.9044309010411,0.003988632078203349,4.137995376237502e-06,6.870992151626583,-5.524306944405612,Low
China,CHN,2001,5255074.4978104,1355036590251.52,China (mainland),Persons,1278725063.0,1059.6778224339223,0.004109620316255896,3.87817903635721e-06,6.965720199806582,-5.494424635214351,Low
China,CHN,2002,5584831.119702,1489821682050.54,China (mainland),Persons,1286866839.0,1157.71238864796,0.004339867148991008,3.748657431280788e-06,7.054201258241029,-5.439911542169909,Low
China,CHN,2003,6292884.9076484,1683903309843.85,China (mainland),Persons,1294517326.0,1300.796270565984,0.004861182450985905,3.73708209423969e-06,7.170731871758366,-5.326473567991033,Low
China,CHN,2004,7131534.2696974,1984196551300.44,China (mainland),Persons,1302100316.0,1523.8430763889316,0.005476946885018189,3.594167253754877e-06,7.328990762696265,-5.207207471051534,Lower-Middle
China,CHN,2005,7974396.0493985,2317551298052.05,China (mainland),Persons,1310027136.0,1769.0864825353128,0.006087199135238752,3.4408714301604224e-06,7.478218580774489,-5.101567215164208,Lower-Middle
China,CHN,2006,8759338.8854779,2791498472804.33,China (mainland),Persons,1318054036.0,2117.89380143769,0.006645659924581347,3.1378626822884478e-06,7.6581773839399885,-5.013791280298571,Lower-Middle
China,CHN,2007,9356343.3930604,3604055822571.63,China (mainland),Persons,1325813582.0,2718.37298357955,0.007057058035976885,2.5960595100839184e-06,7.907788812514673,-4.953727023109363,Lower-Middle
China,CHN,2008,9576295.8707087,4667346414521.95,China (mainland),Persons,1333821016.0,3499.2299255554317,0.00717959587968338,2.051764540320615e-06,8.160298201999398,-4.936512181672677,Lower-Middle
China,CHN,2009,10196872.228987,5189577094997.58,China (mainland),Persons,1342522716.0,3865.5413671209567,0.007595307034631212,1.9648753727574703e-06,8.259857020325557,-4.880224717861944,Lower-Middle
China,CHN,2010,11062044.556854,6192564874453.29,China (mainland),Persons,1351561514.0,4581.785446173403,0.008184640093898087,1.7863429420802977e-06,8.42984403655119,-4.80549604054938,Lower-Middle
China,CHN,2011,12056806.000926,7671757207851.29,China (mainland),Persons,1360250664.0,5639.958436257223,0.008863664852381943,1.571583364054723e-06,8.637631975007011,-4.7257949596669855,Upper-Middle
China,CHN,2012,12419566.977539,8673664713189.24,China (mainland),Persons,1369520864.0,6333.35711867566,0.009068548938542495,1.4318707706851652e-06,8.753585725053783,-4.702943012379206,Upper-Middle
